2025-02-03,西瓜,湖南岳阳市汨罗市,0.43元/斤
2025-02-03,麒麟瓜,湖南岳阳市华容县,0.69元/斤
2025-02-03,麒麟瓜,湖南岳阳市君山区,0.43元/斤
2025-02-03,麒麟瓜,湖南岳阳市汨罗市,0.43元/斤
2025-02-03,无籽西瓜,湖南常德市临澧县,0.68元/斤
2025-02-03,无籽西瓜,湖南常德市安乡县,0.68元/斤
2025-02-03,美都,湖南岳阳市岳阳县,0.43元/斤
2025-02-03,玉菇,湖南长沙市芙蓉区,4.23元/斤
2025-02-03,绿宝石甜瓜,湖南长沙市芙蓉区,3.68元/斤
2025-02-03,博洋,湖南长沙市芙蓉区,0.62元/斤
2025-02-03,网纹瓜,湖南长沙市芙蓉区,5.52元/斤
2025-02-03,青芒,湖南长沙市芙蓉区,4.25元/斤
2025-02-03,金煌芒,湖南长沙市岳麓区,4.25元/斤
2025-02-03,香水菠萝,湖南长沙市芙蓉区,3.77元/斤
2025-02-03,火龙果,湖南长沙市岳麓区,6.12元/斤
